String1_Result1,Search String,Result Number,String1_Result2,String1_Result3,String1_Result4,String1_Result5,String1_Result6,String1_Result7,String1_Result8,String1_Result9,String1_Result10,String1_Result11,String1_Result12,String1_Result13,String1_Result14,String1_Result15,String1_Result16,String1_Result17,String1_Result18,String1_Result19,String1_Result20,String1_Result21,String1_Result22,String1_Result23,String1_Result24,String1_Result25,String1_Result26,String1_Result27,String1_Result28,String1_Result29,String1_Result30,String2_Result1,String2_Result2,String2_Result3,String2_Result4,String2_Result5,String2_Result6,String2_Result7,String2_Result8,String2_Result9,String2_Result10,String2_Result11,String2_Result12,String2_Result13,String2_Result14,String2_Result15,String2_Result16,String2_Result17,String2_Result18,String2_Result19,String2_Result20,String2_Result21,String2_Result22,String2_Result23,String2_Result24,String2_Result25,String2_Result26,String2_Result27,String2_Result28,String2_Result29,String2_Result30
,Search String 2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bolsa Feminina Com Carteira Promoção Queima De Estoque,,,,,,,,,,,,,,,,,,,,,,,,
,Search String 2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refil Filtro Cix01axona Purificador Consul Facilite Original,,,,,,,,,,,,,,,,,,,,,,,
,Search String 2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maquininha Point Smart - A Máquina De Cartão Do Mercado Pago,,,,,,,,,,,,,,,,,,,,,,
,Search String 2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smartphone Nokia C20 32gb Azul,,,,,,,,,,,,,,,,,,,,,
,Search String 2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boneca Bebê Reborn Girafinha Menina 48cm - 100% Silicone,,,,,,,,,,,,,,,,,,,,
,Search String 2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung Galaxy A03s Dual SIM 64 GB preto 4 GB RAM,,,,,,,,,,,,,,,,,,,
,Search String 2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kit 12 Cuecas Masculinas Boxer Microfibra Polo Wear,,,,,,,,,,,,,,,,,,
,Search String 2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ar condicionado LG Dual Inverter Voice  split  frio 12000 BTU  branco 220V S4-Q12JA315,,,,,,,,,,,,,,,,,
,Search String 2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ventilador de teto Ventisol Fenix Inverter branco com 3 pás de  plástico, 960 mm de diâmetro 127 V/220 V",,,,,,,,,,,,,,,,
,Search String 2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro-ondas Electrolux MTO30   branco 20L 127V,,,,,,,,,,,,,,,
,Search String 2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lava e seca automática LG VC5 CV3011 inverter branca 11kg 127 V,,,,,,,,,,,,,,
,Search String 2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fogão  de pé Atlas Mônaco Top Glass  4Q  gás engarrafado 4 queimadores  branco 127V/220V porta com visor 50L,,,,,,,,,,,,,
,Search String 2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ar condicionado LG Dual Inverter Voice  split  frio 9000 BTU  branco 220V S4-Q09AA31B,,,,,,,,,,,,
,Search String 2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kit Com 10 Cuecas  Masculina Boxer De Algodão Mash,,,,,,,,,,,
,Search String 2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depurador E Exaustor De Ar Suggar Slim 60cm 3 Vel Titanium,,,,,,,,,,
,Search String 2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kit 12 Cuecas Masculinas Boxer Microfibra Polo Wear,,,,,,,,,
,Search String 2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tênis Esportivo Masculino Cyber 3 Olympikus,,,,,,,,
,Search String 2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kit Com 10 Cuecas  Masculina Boxer De Algodão Mash,,,,,,,
,Search String 2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kit Com 10 Cuecas Masculina Boxer De Algodão Lupo,,,,,,
,Search String 2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tênis Masculino Viz Runner Bdp Puma,,,,,
,Search String 2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kit Com 10 Cuecas Boxer Sem Costura Masculina D`uomo,,,,
,Search String 2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bola Campo Bravo X X I I I Penalty,,,
,Search String 2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tênis Masculino Veloz 2 Olympikus,,
,Search String 2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mala De Viagem Troya Pequena Preta American Tourister,
,Search String 2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bola Futebol Society 8 X Penalty
